Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Chromium, Cr","Copper, Cu","Iron, Fe","Magnesium, Mg","Manganese, Mn","Silicon, Si","Titanium, Ti","Zinc, Zn","Zirconium, Zr","Vanadium, V","Boron, B","Nickel, Ni","Gallium, Ga","Oxygen, O","Beryllium, Be","Bismuth, Bi","Lead, Pb","Tin, Sn","Scandium, Sc","Lithium, Li","Silver, Ag"
2.69,-0.7596610787081491,-0.6849277474023397,-1.0028609533872301,-0.6462178058624204,0.4447906570488868,98.5,0.0,0.1,0.1,0.6,0.03,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.83,0.19013843685645265,1.861889635558419,1.736177770979631,-1.0677007348276677,0.588481207534757,90.3,0.04,2.0,0.15,1.9,0.1,0.12,0.06,5.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.82,0.6311167833685887,0.40766460420016093,1.0307814967591244,-1.0677007348276677,0.37294538180595044,95.0,0.1,3.3,0.8,0.4,0.5,0.8,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0
2.69,-0.047311442034699,-1.4281983189854492,-1.1079199729519864,1.1029363493433542,-0.08255366323427007,95.5,0.0,0.15,0.8,0.05,0.35,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.66,-0.047311442034699,0.44613616587630534,0.39292316368738955,-0.2247348768971729,-0.6328884715951433,96.3,0.0,0.0,0.5,3.5,0.2,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,-0.7596610787081491,-0.6310675610557376,-0.38751526736508596,-0.30903146269022236,0.588481207534757,98.6,0.04,0.15,0.7,0.8,0.15,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,-0.7257396674379867,-1.4389703562547698,-1.3705675218638773,-0.4354763413797966,0.4447906570488868,97.0,0.0,0.15,0.8,0.4,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.81,0.6311167833685887,0.09989211079100582,0.6555707125992803,-1.0677007348276677,0.3011001065630141,95.2,0.1,3.3,0.7,0.5,0.2,0.8,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0
2.81,1.106016541150892,0.40766460420016093,0.39292316368738955,-0.6462178058624204,0.35211025198549417,93.6,0.1,3.5,1.0,1.2,0.2,0.9,0.0,0.25,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.69,-0.7596610787081491,-0.100160009924945,-0.38751526736508596,-0.4354763413797966,-0.41735264586633936,97.9,0.0,0.2,0.15,0.45,0.05,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.81,0.6311167833685887,0.40766460420016093,1.0307814967591244,-1.0677007348276677,0.3011001065630141,95.2,0.1,3.3,0.7,0.5,0.2,0.8,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0
2.81,1.1399379524210544,0.21530679581943898,0.2878641441226333,-0.6462178058624204,0.20051672122290165,93.6,0.1,3.5,1.0,1.2,0.2,0.9,0.0,0.25,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,-0.7596610787081491,0.3768873548592454,0.13027561477549876,-0.30903146269022236,-0.41735264586633936,98.6,0.04,0.15,0.7,0.8,0.15,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.69,-0.047311442034699,-1.4281983189854492,-1.3180380120814992,1.1029363493433542,0.4447906570488868,95.5,0.0,0.15,0.8,0.05,0.35,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.66,-0.047311442034699,-0.8465083064421461,-0.22992673801795147,-0.2247348768971729,-0.6328884715951433,96.3,0.05,0.1,0.5,3.5,0.2,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.83,0.19013843685645265,2.0234701945982256,1.9462958101091439,-1.0677007348276677,0.588481207534757,90.3,0.04,2.0,0.15,1.9,0.1,0.12,0.06,5.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.82,0.6311167833685887,0.09989211079100582,0.6555707125992803,-1.0677007348276677,0.37294538180595044,95.0,0.1,3.3,0.8,0.4,0.5,0.8,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0
2.66,-0.28476132092585066,0.1768352341432946,0.2053177716074676,-0.2247348768971729,-0.034417328821477744,95.6,0.05,0.1,0.4,4.0,0.4,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.62,-0.047311442034699,-0.669539122731882,-0.13237193413639203,1.1029363493433542,0.8758623085064974,93.4,0.0,0.1,0.15,6.5,0.05,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.67,-0.28476132092585066,-1.0573324644274174,-0.7477176201585362,-0.2247348768971729,0.4447906570488868,97.7,0.15,0.04,0.4,2.2,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,-0.38652555473634287,1.4463967694560593,1.2183868888390463,0.32319293075764877,0.588481207534757,95.8,0.0,2.8,0.2,1.2,0.2,0.15,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.88,-0.047311442034699,-1.169669424521759,-1.3705675218638773,1.1029363493433542,0.37294538180595044,93.1,0.0,0.7,0.7,0.1,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
2.76,1.9879732341751641,1.2771218980810242,1.0082688497095338,-0.2938580772474981,0.3011001065630141,86.8,0.0,2.5,0.5,0.7,0.0,9.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.73,-0.38652555473634287,-1.4312760439195409,-1.4456096786958461,-0.3722539020350095,-0.6049885563757987,99.2,0.0,0.1,0.7,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.7596610787081491,-0.5772073747091354,-0.9578356592880488,-0.1404382911041234,0.1574095560771439,99.0,0.0,0.05,0.95,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2.84,-1.4041678928412744,1.8695839478936478,1.6311187514148748,-0.6462178058624204,0.4447906570488868,91.2,0.0,0.3,0.6,1.2,0.3,0.4,0.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.66,-0.047311442034699,-0.7387879337489418,-0.019808698888438833,1.1029363493433542,-0.9921148478098201,89.0,0.0,1.0,1.3,0.1,0.35,11.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
2.69,-0.7596610787081491,-0.36946094165795573,-0.6426586005937799,-0.2247348768971729,-1.8542581507250462,98.9,0.1,0.2,0.7,1.1,0.1,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.5222111998170024,-0.15402019627154714,-0.12486771845319515,1.1029363493433542,0.588481207534757,94.1,0.0,1.0,0.2,0.4,0.1,4.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.83,-0.38652555473634287,0.3307214808478722,0.7681339478472335,-0.6462178058624204,-0.4891979211092731,94.6,0.0,5.0,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
2.68,0.4275883157476043,-0.20788038261814928,-0.5901290908114017,1.1029363493433542,-0.05812626965166262,93.3,0.0,0.25,0.6,0.2,0.35,6.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.76,1.1399379524210544,1.1155413390412177,1.11332786927429,-0.7515885381037322,-1.1358053982956928,94.9,0.0,1.9,0.9,1.3,0.0,0.1,0.04,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.28476132092585066,-0.09246569758971612,-0.057329777304423235,1.1029363493433542,-0.4891979211092731,94.1,0.25,1.0,0.6,0.4,0.5,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.79,0.4275883157476043,0.3768873548592454,1.0082688497095338,-0.6462178058624204,-0.4891979211092731,95.5,0.1,3.5,0.7,0.4,0.4,0.2,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
