Metal Type,Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Chromium, Cr","Copper, Cu","Iron, Fe","Magnesium, Mg","Manganese, Mn","Silicon, Si","Titanium, Ti","Zinc, Zn","Zirconium, Zr","Vanadium, V","Boron, B","Nickel, Ni","Gallium, Ga","Oxygen, O","Beryllium, Be","Bismuth, Bi","Lead, Pb","Tin, Sn","Scandium, Sc","Lithium, Li","Silver, Ag","Carbon, C","Cobalt, Co","Molybdenum, Mo","Niobium, Nb (Columbium, Cb)","Phosphorus, P","Sulfur, S","Tungsten, W","Hydrogen, H","Nitrogen, N","Yttrium, Y","Palladium, Pd","Tantalum, Ta"
Aluminum,2.82,1.1399379524210544,0.6923541606036294,0.9632435556103524,-0.647165509181778,-0.4864106383207106,94.4,0.1,3.5,1.0,0.45,0.2,0.9,0.0,0.25,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.7,-0.3865255547363428,0.5615508509047384,0.2803599284394363,-0.3731599792599638,-0.4864106383207106,98.1,0.0,0.3,0.0,1.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.71,-0.2847613209258506,-0.5772073747091354,-0.6426586005937799,1.1036011562155317,0.4237473536773383,94.1,0.25,1.0,0.6,0.4,0.5,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.67,0.4275883157476043,0.1075864231262347,0.1302756147754987,1.1036011562155317,-0.4864106383207106,93.0,0.0,0.2,0.2,0.4,0.1,6.5,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.83,-0.2847613209258506,0.6384939742570273,0.8581845360455962,-0.647165509181778,-1.1334423861866172,94.6,0.0,5.0,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.69,-0.7596610787081491,-0.47718131435116,-0.7477176201585362,-0.2252940235438715,-0.055056139743442,98.9,0.1,0.2,0.7,1.1,0.1,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.73,-0.7596610787081491,-0.792648120095544,-1.212978992516743,-0.3729490435171271,0.5919756081224646,99.0,0.0,0.05,0.7,0.0,1.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.71,-0.7596610787081491,-0.6849277474023397,-1.1079199729519864,-0.1409197264162902,-0.1298242528301555,99.0,0.0,0.05,0.95,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.8,-0.047311442034699,1.538728517478806,1.5785892416324967,1.0403204333698457,0.4481907752633751,91.4,0.18,1.2,0.5,2.1,0.3,0.4,0.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.76,1.987973234175164,1.0616811526946155,0.9107140458279744,0.0360553618087881,0.1246749013304358,86.8,0.0,2.5,0.5,0.7,0.0,9.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
