Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be"
8.44,0.20980400326728596,0.36185332485184596,0.3793322278154129,-0.7147633651981796,0.22120355786959664,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.08484279282260462,-0.11911398457971904,-0.7147633651981796,-0.4949487315494588,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.04600126812041343,1.607639164143925,1.2853315197571529,0.2269228311697647,-0.4750850400899791,0.0,0.01,14.5,2.5,4.0,1.0,15.0,57.0,0.0,0.08,0.0,0.0,0.0,0.025,0.01,0.0,3.0,0.35,0.0
8.28,0.1552030915516618,-0.02280166536781982,0.07146839074783143,1.390736183269207,-2.1873352438970755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
8.44,0.20980400326728596,1.0318975013635219,0.8924386229280489,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,-0.06320055531083492,-0.7424787438433236,-0.4709583697998122,-0.27604838430208706,-0.3672693370015957,0.4,0.1,20.0,0.1,5.0,0.5,8.0,55.31,3.15,0.5,0.4,0.0,0.5,0.015,0.015,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,1.4984467798235037,1.6459720146077483,-0.45995415912217896,1.743027172885166,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.22,0.04600126812041343,0.6100178346709852,0.2913711315103897,0.9359571437291562,-0.086948508971781,0.0,0.1,22.0,1.5,18.0,1.0,9.0,47.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,0.0,0.6,0.0,0.0
8.43,1.5639066138147661,-0.7077357124686441,-0.23346340977624933,-0.45995415912217896,1.2557046090792734,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,0.2874039719061042,0.3793322278154129,-0.7147633651981796,0.24106724932907633,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.7300705183523666,-0.3829972734947889,-0.7147633651981796,-0.18743671698845396,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.6556211654066249,-0.36833709077728505,-0.7147633651981796,-1.162081844600202,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.42,0.1552030915516618,-1.1023172830810755,-1.0866860439349753,2.0549019182369506,-2.1873352438970755,0.0,0.05,15.5,0.0,8.0,0.25,0.0,76.0,0.0,0.2,0.0,0.0,0.1,0.0,0.002,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5191306850060983,-0.17775471544973456,-0.7147633651981796,0.8584307798896939,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.6928458418794957,-0.32435654262477337,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8417445477709793,-0.50027873523482,-0.7147633651981796,0.2676625251164905,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.4074566555874856,-0.11911398457971904,-0.7147633651981796,-0.46528561896997117,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.13,-0.6092096724670767,0.9177418268467178,0.877778440210545,0.8744705744369148,-0.4419788876575114,0.8,0.04,17.0,1.0,11.1,0.35,2.8,50.0,0.0,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.59358003795184,-0.2363954463197501,-0.7147633651981796,2.182676877188289,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.6432129399156679,-0.3976574562122928,-0.7147633651981796,-0.4675147665670986,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.09725101831356159,-0.07513343642720739,-0.7147633651981796,-0.5095154386197447,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.24,-2.957048876238916,-0.18162695165206894,-0.2598517386677563,0.9470358048628985,-0.055299027246321894,0.3,0.0,20.0,0.0,3.0,0.0,0.0,75.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
